Date,Close/Last,Volume,Open,High,Low
01/31/2023,$21.87,3128376,$21.41,$22.05,$21.30
01/30/2023,$21.25,4950563,$22.50,$23.48,$21.13
01/27/2023,$22.82,11897250,$19.80,$23.31,$19.41
01/26/2023,$20.01,3519973,$20.61,$21.1685,$19.38
01/25/2023,$20.23,3515791,$20.59,$20.84,$19.53
01/24/2023,$21.40,2381588,$21.30,$22.09,$21.00
01/23/2023,$21.66,7181508,$19.50,$22.49,$19.37
01/20/2023,$19.61,3564322,$19.05,$20.0699,$18.90
01/19/2023,$19.04,4519163,$20.44,$20.45,$18.82
01/18/2023,$20.79,5632161,$22.01,$22.15,$20.50
01/17/2023,$21.80,5407905,$20.49,$21.94,$20.37
01/13/2023,$20.49,5494405,$19.88,$21.11,$19.80
01/12/2023,$20.63,5877276,$19.04,$20.63,$18.34
01/11/2023,$19.04,8405821,$18.19,$20.05,$17.86
01/10/2023,$17.77,4402799,$16.30,$18.09,$16.25
01/09/2023,$16.38,3522596,$16.65,$17.13,$16.36
01/06/2023,$16.46,4823357,$16.00,$16.57,$15.41
01/05/2023,$16.22,6066158,$17.06,$17.26,$15.89
01/04/2023,$17.32,3939325,$17.25,$17.93,$16.90
01/03/2023,$17.20,5135191,$18.64,$19.26,$17.091
12/30/2022,$18.46,2669548,$17.95,$18.575,$17.90
12/29/2022,$18.33,3442757,$18.12,$18.57,$17.75
12/28/2022,$17.92,5671992,$18.29,$18.70,$16.98
12/27/2022,$18.20,4233045,$19.91,$19.99,$18.00
12/23/2022,$20.08,3174827,$20.00,$20.63,$19.65
12/22/2022,$19.81,5343087,$20.50,$20.50,$18.50
12/21/2022,$20.56,2793559,$20.40,$20.90,$20.18
12/20/2022,$20.26,4478987,$19.86,$21.32,$19.6238
12/19/2022,$19.92,3700556,$20.55,$20.89,$19.5925
12/16/2022,$20.80,9379717,$20.48,$21.115,$20.01
12/15/2022,$20.58,6444512,$20.74,$21.44,$20.24
12/14/2022,$21.05,4604808,$21.19,$22.00,$21.01
12/13/2022,$21.00,6305646,$23.55,$23.70,$20.825
12/12/2022,$22.67,3750805,$22.66,$23.15,$22.18
12/09/2022,$22.63,5326676,$24.59,$24.59,$22.59
12/08/2022,$24.79,10252000,$22.00,$25.00,$21.97
12/07/2022,$22.26,10078220,$23.40,$23.61,$21.97
12/06/2022,$23.39,7699321,$25.41,$25.5761,$23.11
12/05/2022,$25.56,4973747,$27.31,$27.48,$25.44
12/02/2022,$27.52,4577177,$26.25,$27.87,$26.11
12/01/2022,$26.60,7615154,$26.00,$27.50,$25.18
11/30/2022,$26.21,3731072,$25.90,$26.23,$24.91
11/29/2022,$25.60,2029480,$25.58,$26.35,$25.32
11/28/2022,$25.29,2453744,$25.79,$26.44,$25.2101
11/25/2022,$26.17,1122700,$26.50,$27.05,$26.14
11/23/2022,$26.70,2737491,$25.92,$27.14,$25.92
11/22/2022,$26.30,4240402,$25.13,$26.45,$24.70
11/21/2022,$25.16,4443252,$26.66,$27.83,$24.855
11/18/2022,$27.60,3087420,$28.16,$28.6999,$26.83
11/17/2022,$27.76,2477693,$26.30,$27.76,$26.15
11/16/2022,$27.14,2452335,$26.62,$27.35,$26.37
11/15/2022,$27.59,5391975,$26.59,$28.24,$26.27
11/14/2022,$26.05,4350537,$26.30,$27.38,$25.61
11/11/2022,$26.10,3986182,$24.78,$26.12,$24.15
11/10/2022,$24.88,6106952,$24.62,$25.6969,$23.91
11/09/2022,$23.11,8464777,$24.55,$24.67,$21.89
11/08/2022,$25.14,4695117,$25.33,$25.85,$24.11
